site,x,y,LRIvegetation,mud,native,exotic,waterfall,scrub,river,lake,ice,sand,snow,elevation,FSLsoil,orchard,shingle,elevation
HUT,174.9183660779,-41.1980324991,1,0,0,0,0,1,1,0,0,0,0,12,1,0,1,12
HW,174.7402767963,-37.424629492,1,0,1,0,0,1,0,1,0,0,0,105,1,0,0,105
IRC,170.3487463266,-44.0873442829,1,0,0,0,0,0,0,0,0,0,0,647,1,0,1,647
JLB,173.1847875194,-41.3348487408,1,1,0,0,0,0,0,0,0,1,0,10,1,1,0,10
JLH,173.1917031709,-41.3497811969,1,0,1,1,0,1,0,1,0,0,0,50,1,1,0,50
JLW,173.1870037205,-41.3450418773,1,0,1,0,0,0,0,1,0,0,0,33,1,0,0,33
K,174.5601110678,-36.7737696795,1,0,1,1,0,0,0,1,0,0,0,27,1,0,0,27
KAR,174.7224561521,-41.2967157836,1,0,0,1,0,1,0,0,0,0,0,140,1,0,0,140
KAU,175.6711001214,-37.0610143192,1,0,0,0,0,1,1,0,0,0,0,183,1,0,1,183
KH,175.6179447866,-40.4402487117,1,0,0,1,0,1,0,0,0,0,0,82,1,0,0,82
KKP,174.462943525,-36.6300470006,1,0,0,1,0,1,1,0,0,0,0,26,1,0,0,26
KN,175.1954219451,-37.0684284525,1,0,0,0,0,0,0,0,0,0,0,249,1,0,0,249
KOW,173.6329079756,-42.4161449288,1,0,0,1,0,0,0,0,0,0,0,9,1,0,1,9
KP,172.5862127435,-43.4152912474,1,0,1,0,0,0,0,1,0,0,0,19,1,1,0,19
KRK,175.5009980875,-36.7581076494,1,1,0,1,0,1,1,0,0,1,0,12,1,0,0,12
KT,174.6121858115,-37.0972686844,1,0,1,1,0,1,0,1,0,0,0,40,1,0,0,40
KTN,172.6870133869,-43.7423098088,1,0,0,1,0,1,0,0,0,0,0,16,1,0,0,16
KWH,174.7794024052,-41.2579919655,1,0,0,0,0,1,0,0,0,0,0,45,1,0,0,45
LG,174.7063407572,-36.7699936312,1,1,0,0,0,0,0,0,0,1,0,21,1,0,0,21
LU,174.699419485,-36.7228956819,1,0,1,1,0,1,1,1,0,0,0,31,1,0,0,31
LV,174.7394539572,-36.6843876205,1,0,1,1,0,0,0,1,0,1,0,17,1,0,0,17
LYL,173.6787324713,-42.3765085994,1,0,0,0,0,0,0,0,0,0,0,12,1,0,1,12
M,174.9253189112,-36.7687220613,1,1,0,1,0,1,0,0,0,1,0,37,1,0,0,37
